,index,DayPrecip,DayAirTmpMin,DayAirTmpMax,DayEto,DayAirTmpAvg,DaySolRadAvg,DayWindSpdAvg,Eto_values,Kc_values,Etc_values,Etc_cum,Soil_Water_Deficit,Soil_Water_Deficit_cum
49,2018-02-20,0.0,22.2,53.7,0.07,38.4,280.0,2.1,0.06,0.6841779752442033,0.041050678514652196,1.6406008650863513,-0.041050678514652196,2.009399134913648
50,2018-02-21,0.0,30.0,57.3,0.08,43.1,303.0,2.4,0.08,0.665026863192488,0.053202149055399044,1.6938030141417504,-0.053202149055399044,1.9561969858582489
51,2018-02-22,0.02,26.8,55.6,0.06,41.1,242.0,2.1,0.06,0.6458757511407729,0.03875254506844637,1.7325555592101967,-0.018752545068446373,1.9374444407898024
52,2018-02-23,0.0,22.6,59.8,0.09,40.4,342.0,2.1,0.09,0.6267246390890576,0.05640521751801519,1.7889607767282119,-0.05640521751801519,1.8810392232717872
53,2018-02-24,0.0,23.7,59.8,0.07,41.6,290.0,2.3,0.07,0.6075735270373424,0.04253014689261397,1.8314909236208259,-0.04253014689261397,1.8385090763791732
54,2018-02-25,0.0,27.8,63.6,0.08,44.8,341.0,1.6,0.08,0.5884224149856272,0.047073793198850175,1.878564716819676,-0.047073793198850175,1.791435283180323
55,2018-02-26,0.08,34.9,60.4,0.06,47.3,269.0,1.6,0.06,0.5692713029339119,0.03415627817603471,1.9127209949957107,0.04584372182396529,1.8372790050042884
56,2018-02-27,0.0,32.0,62.3,0.1,46.7,361.0,2.0,0.1,0.5653351262355429,0.0565335126235543,1.969254507619265,-0.0565335126235543,1.7807454923807342
57,2018-02-28,0.2,27.3,58.1,0.05,43.8,198.0,3.1,0.04,0.561398949537174,0.02245595798148696,1.9917104656007518,0.17754404201851304,1.9582895343992472
58,2018-03-01,1.39,42.2,59.5,0.05,51.3,179.0,6.2,0.05,0.557462772838805,0.02787313864194025,2.0195836042426922,1.3621268613580597,3.3204163957573067
59,2018-03-02,0.16,31.4,50.5,0.03,41.2,181.0,2.1,0.04,0.5535265961404361,0.022141063845617443,2.04172466808831,0.13785893615438255,3.4582753319116892
60,2018-03-03,0.13,30.5,51.7,0.04,39.7,243.0,2.0,0.05,0.5495904194420671,0.027479520972103356,2.069204189060413,0.10252047902789665,3.560795810939586
61,2018-03-04,0.0,28.9,57.2,0.09,41.5,383.0,2.0,0.08,0.5456542427436981,0.04365233941949585,2.112856528479909,-0.04365233941949585,3.51714347152009
62,2018-03-05,0.0,28.3,62.9,0.1,44.6,391.0,1.6,0.09,0.5417180660453291,0.04875462594407962,2.1616111544239884,-0.04875462594407962,3.4683888455760106
63,2018-03-06,0.0,32.3,67.0,0.1,48.4,358.0,2.0,0.1,0.5377818893469601,0.05377818893469602,2.2153893433586846,-0.05377818893469602,3.4146106566413144
64,2018-03-07,0.06,41.0,69.2,0.1,54.1,310.0,2.3,0.09,0.539928387940753,0.04859355491466777,2.2639828982733525,0.011406445085332229,3.4260171017266465
65,2018-03-08,0.08,43.7,69.6,0.08,56.0,298.0,1.7,0.08,0.5420748865345459,0.04336599092276368,2.307348889196116,0.036634009077236324,3.4626511108038827
66,2018-03-09,0.0,38.1,66.3,0.07,51.4,289.0,2.2,0.07,0.544221385128339,0.03809549695898373,2.3454443861550995,-0.03809549695898373,3.424555613844899
67,2018-03-10,0.0,39.2,59.9,0.02,50.9,134.0,1.6,0.03,0.5463678837221319,0.016391036511663955,2.3618354226667635,-0.016391036511663955,3.408164577333235
68,2018-03-11,0.01,38.2,71.0,0.09,52.9,317.0,2.1,0.08,0.5485143823159248,0.04388115058527398,2.4057165732520374,-0.03388115058527398,3.374283426747961
69,2018-03-12,0.18,42.7,70.9,0.07,57.0,262.0,2.4,0.07,0.5506608809097177,0.03854626166368024,2.4442628349157176,0.14145373833631975,3.515737165084281
70,2018-03-13,0.49,47.7,61.1,0.04,55.3,169.0,3.8,0.04,0.5528073795035106,0.022112295180140424,2.466375130095858,0.4678877048198596,3.9836248699041406
71,2018-03-14,0.07,37.8,58.0,0.06,48.1,266.0,2.2,0.06,0.5549538780973036,0.033297232685838216,2.499672362781696,0.03670276731416179,4.020327637218302
72,2018-03-15,0.31,33.7,55.5,0.04,45.8,188.0,3.9,0.04,0.5571003766910965,0.02228401506764386,2.52195637784934,0.2877159849323561,4.308043622150659
73,2018-03-16,0.06,34.6,57.8,0.07,47.0,294.0,2.6,0.07,0.5592468752848894,0.03914728126994226,2.5611036591192824,0.020852718730057736,4.328896340880716
74,2018-03-17,0.04,32.9,56.9,0.06,43.2,267.0,2.1,0.05,0.5613933738786823,0.028069668693934114,2.5891733278132163,0.011930331306065887,4.340826672186782
75,2018-03-18,0.0,30.6,57.4,0.06,44.1,287.0,1.4,0.06,0.5635398724724752,0.033812392348348506,2.622985720161565,-0.033812392348348506,4.307014279838433
76,2018-03-19,0.0,31.5,63.6,0.09,49.0,364.0,1.7,0.09,0.5656863710662681,0.05091177339596412,2.6738974935575293,-0.05091177339596412,4.256102506442469
